objectid,filename,image_small,image_thumb,title,creator,publisher,date,description,subject,location,congress,symposium,newspaper,journal,volume,issue,pages,doi,issn,thesis,university,faculty,format,language,rights,access
paper009,paper009.pdf,,,Análisis ambiental de la extracción y el uso de la arena del delta del Paraná,"Zagel, Mauro",Instituto de Geografía de la Facultad de Humanidades,01-07-2023,"El aporte del río Paraná permite el desarrollo de los servicios ecosistémicos que ofrece el delta del Paraná al área más poblada de Argentina. En la actualidad, uno de los principales servicios tiene que ver con la provisión de arena cuya extracción y uso sobre el tramo final del delta y en el corredor metropolitano se ha intensificado notablemente. A pesar de que aún no conoce escasez de arena, se prevé un agravamiento de la situación debido a las estimaciones de crecimiento del corredor metropolitano y de la producción de gas natural en Vaca Muerta. Más aún, se crea un escenario de retroalimentación donde la arena (y áridos) extraídos retornan en nuevas formas de presión, propias del avance metropolitano y agrario sobre los humedales y con ello, un aumento en el consumo de recursos naturales al que se asocia una mayor demanda de energía (gas natural, petróleo).

Así pues, se aplicó una perspectiva de pensamiento sistémica y multiescalar (espacio temporal), un estudio holístico cualitativo basado en aplicar el modelo DPSIR (Factores Determinantes-Presión-Estado-Impacto-Respuesta), lo cual permitió el reconocimiento de causas y consecuencias que degradan los servicios ecosistémicos del delta del Paraná y el bienestar humano, además de ofrecer nuevas respuestas a los efectos causados por la extracción y el uso de las arenas fluviales y de los médanos de Ibicuy.",impactos ambientales; extracción de arena; servicios ecosistémicos; impactos sociales; bienestar humano; delta del Paraná,Argentina,,,,Revista Geográfica Digital,20,39,34-55,https://doi.org/10.30972/geo.20396671,1668-5180,,,,application/pdf,Español,Creative Commons. CC BY 4.0,
doc001,doc001.pdf,,,Avis délibéré sur le projet d’exploitation de la carrière « Agami » à Kourou,Misión Regional de la Autoridad Ambiental,República Francesa,08-11-2023,"Este documento corresponde al aviso deliberado (dictamen) de la Autoridad Ambiental (MRAe) de Guayana Francesa sobre el proyecto de explotación a cielo abierto de la cantera de arena ""Agami"", ubicada en el municipio de Kourou dentro del territorio del Centro Espacial Guyanés. El proyecto, presentado por la empresa SOCARMINES, contempla la extracción gradual de arena en una superficie de 7 hectáreas durante un periodo de 20 años para abastecer a la industria de la construcción.

La MRAe analiza la calidad del estudio de impacto ambiental presentado, señalando que, aunque la cantera se sitúa en una zona parcialmente degradada por extracciones pasadas, el sitio alberga ecosistemas sensibles sobre arenas blancas, especies de flora protegidas y un área ZNIEFF. El dictamen concluye con una serie de recomendaciones para el promotor del proyecto, exigiendo un mejor análisis del perfil hidrológico, un control riguroso de las emisiones de polvo, el seguimiento ecológico durante y después de las operaciones, y la evaluación de medidas compensatorias de biodiversidad si la revegetación natural resulta insuficiente. ",evaluación de impactos ambientales; minería de arena; áreas naturales protegidas; rehabilitación ambiental,Guyana Francesa,,,,,,,,,,,,,application/pdf,Francés,Licence Ouverte,https://www.mrae.developpement-durable.gouv.fr/IMG/pdf/231106_2023apguy6_projet_carriere_agami_kourou-vf-1.pdf
paper010,https://revistas.ucp.edu.co/index.php/grafias/article/view/1291,portadap010.png,portadap010.png,La extracción de arena y minerales de río como factor contaminante del ambiente,"Marín, Laura",Universidad Católica de Pereira,05-05-2020,"Este artículo aborda el impacto ambiental y socioeconómico de la extracción informal de arenas y gravas fluviales en Colombia, tomando como caso de estudio el municipio de La Virginia, Risaralda, en los ríos Cauca y Risaralda. Si bien esta actividad representa el sustento fundamental de cientos de familias de areneros artesanales, la sobreexplotación de materiales de arrastre genera severas alteraciones morfológicas en los cauces, destruye el hábitat acuático y ripario, altera la calidad del agua e incrementa el riesgo de erosión y desestabilización de infraestructuras como puentes.                                                                                                                                                                                      

Asimismo, la autora resalta las precarias condiciones laborales y de seguridad a las que se enfrentan los trabajadores al realizar esta labor de manera informal e intensiva. Ante esta problemática, se enfatiza la urgente necesidad de que la sociedad y las autoridades implementen planes integrales de conservación, regulación hídrica, reforestación de cuencas y ordenamiento de los presupuestos de arena para equilibrar la preservación de los recursos naturales con el bienestar socioeconómico de las comunidades locales.  ","Gravas y arenas, conservación, regulación del agua, cuencas hidrográficas; impactos sociales; impactos ambientales",Colombia,,,,Grafías disciplinares de la UCP,,29,45-49,https://doi.org/10.31908/grafias.v0i29.1291,1900-5679,,,,record,Español,,
tesis001,tesis001.pdf,,,Efectos de la extracción de arena en el desarrollo del turismo sostenible en la playa la reveza del cantón palenque,"Alarcón, Mercy",,2024,"El objetivo del proyecto se centra en analizar los efectos de la extracción de arena en la Playa La Reveza, ubicada en el Cantón Palenque, con un enfoque particular en el desarrollo del turismo sostenible. La extracción de arena, impulsada por necesidades comerciales, presenta importantes restos para el potencial turístico de La Reveza. Este proceso no regulado daña el equilibrio ecológico, la calidad visual y la atracción turística de la playa, lo que compromete el turismo sostenible.

La investigación es necesaria para comprender los efectos y tomar medidas para mantener La Reveza como atractivo turístico sostenible. La investigación se alinea con el objetivo de desarrollo sostenible numero 15 de las naciones unidas, y los beneficiarios directos son la comunidad local y los turistas.

Según los hallazgos, la extracción de arena tiene un impacto negativo en el turismo y la percepción de la sostenibilidad en La Reveza. Además, tiene un impacto significativo en la rentabilidad de las empresas locales y la sostenibilidad económica.

Con base en los hallazgos, se proponen medidas ambientales mejoradas, métodos de extracción más sostenibles, participación comunitaria en los programas educativos, diversificación económica, observación continua, asociaciones estratégicas y restricciones en el uso del suelo para reducir los efectos negativos.","desarrollo sostenible, economía circular, desarrollo económico local, impactos ambientales, turismo sostenible",Ecuador,,,,,,,,,,Grado de Bachiller en Turismo,Universidad Técnica de Nanahoyo,"Facultad de Ciencias Jurídicas, Sociales y de la Educación",application/pdf,Español,Creative Commons. CC BY 4.0,http://dspace.utb.edu.ec/handle/49000/15956
paper011,https://www.internationaljournalssrg.org/IJGGS/paper-details?Id=34,portadap011.png,portadap011.png,Impacts of Sand Mining on Environment – A Review,"Sankara, Podila",,01-04-2017,"La extracción indiscriminada de arena en lechos fluviales, dunas costeras y fondos marinos provoca severos desequilibrios ecológicos a escala global. Esta actividad altera la morfología de los ríos, acelera la erosión de las riberas, destruye la flora local y degrada el hábitat de diversas especies acuáticas y terrestres. Asimismo, la pérdida de las dunas expone a las áreas costeras a inundaciones y tormentas, mientras que la turbidez del agua y la salinización de los acuíferos subterráneos comprometen la biodiversidad marina y la disponibilidad de agua dulce para las comunidades.  

En el ámbito socioeconómico e hidrológico, el agotamiento del recurso provoca la caída drástica del nivel freático, dejando secos los pozos de agua potable y afectando el abastecimiento local. La operación de maquinaria pesada genera contaminación por polvo, vibraciones y ruido continuo, además de deteriorar la infraestructura vial, el paisaje natural y las actividades económicas tradicionales como el turismo y la pesca. El artículo concluye enfatizando que la recuperación natural de estos depósitos toma siglos, por lo que es indispensable una estricta regulación gubernamental para evitar desastres ambientales irreversibles.",minería de arena; erosión fluvial; playas; impactos ambientales; impactos sociales; acuíferos,India,,,,International Journal of Geoinformatics and Geological Science,4,1,1-5,https://doi.org/10.14445/23939206/IJGGS-V4I1P101,2393 - 9206 ,,,,record,Inglés,,
paper012,https://www.sciencedirect.com/science/article/pii/S305047592500020X,portadap012.png,portadap012.png,"A review of river sand mining: Methods, impacts, and implications","Mani, Indra; Shwarup, Shanti; Bhagat, Chandrashekhar;  Modi, Ankit; Jain, Vikrant; Kumar, Pranab",,23-01-2025,"La extracción masiva e insostenible de arena en los cauces de los ríos se ha convertido en una problemática ambiental crítica a nivel global, impulsada principalmente por la alta demanda de la industria de la construcción. Este proceso altera drásticamente la morfología de las cuencas hidrológicas, provocando el descenso del lecho fluvial, la erosión severa de las riberas y la degradación de las estructuras hidráulicas circundantes. Además, la remoción del sedimento afecta seriamente el ciclo hidrológico local al reducir la capacidad de almacenamiento de los acuíferos y disminuir los niveles freáticos, lo que acelera el agotamiento de las fuentes de agua subterránea.    

En el ámbito ecológico y socioeconómico, la minería de arena destruye hábitats acuáticos esenciales, interrumpe las cadenas tróficas y reduce sensiblemente la biodiversidad y la productividad pesquera. Al mismo tiempo, genera importantes conflictos sociales y pérdidas económicas para las comunidades locales que dependen de los recursos fluviales. Para abordar estas consecuencias, los investigadores emplean metodologías que van desde experimentos en canales de laboratorio y sensores remotos hasta balances de sedimentos. Por ello, resulta urgente fortalecer los marcos regulatorios, promover el uso de alternativas sostenibles (como la arena manufacturada o materiales reciclados) e involucrar a la comunidad para garantizar la preservación de los ecosistemas de los ríos.",minería de arena; impactos ambientales; impactos sociales; erosión fluvial,India,,,,Next Research,2,1,,https://doi.org/10.1016/j.nexres.2025.100149,3050-4759,,,,record,Inglés,"Copyright (C) 2025 Elsevier Ltd. All rights are reserved, including those for text and data mining, AI training, and similar technologies.",
paper013,https://www.sciencedirect.com/science/article/pii/S2214790X22001836,portadap013.png,portadap013.png,A policy approach for sustainable governance of sand mining activities in NW Kashmir Himalayas,"Ahmad, Shahid; Hussain, Danish; Iqbal, Jaweed; Ullah, Sami",,03-01-2023,"El estudio evalúa el impacto socioeconómico y ambiental de la extracción de arena en el río Jhelum (Cachemira, India), donde operan cerca de 3,000 embarcaciones que generan empleo e ingresos diarios para miles de familias. Esta actividad representa un pilar económico clave ante la falta de alternativas industriales en la región. Sin embargo, la extracción intensiva y poco regulada —tanto manual como mecanizada— ha derivado en serios problemas de erosión en las márgenes, alteración del cauce, pérdida de calidad del agua y la aparición de socavones por la disolución de rocas calcáreas.  

Para contrarrestar estos daños sin destruir el sustento de la población local, los autores proponen un modelo de gobernanza sostenible basado en políticas de gestión adaptadas a cada sitio. Entre las medidas clave destacan la prohibición de maquinaria pesada en zonas frágiles, el reemplazo del material extraído mediante arena marina o de manufactura (M-sand), y la participación prioritaria de las comunidades locales. Asimismo, sugieren implementar un monitoreo continuo mediante tecnologías geoespaciales y la creación de un fondo ambiental financiado con impuestos a la extracción para restaurar las áreas degradadas.",minería de arena; gobernanza sostenible; impactos ambientales; impactos sociales; medios de vida; erosión fluvial,India,,,,The Extractive Industries and Society,13,,,https://doi.org/10.1016/j.exis.2022.101204,2214-790X,,,,record,Inglés,Copyright (C) 2022 Elsevier Ltd. All rights reserved,
paper014,paper014.pdf,,,Community resilience to natural resource vulnerability due to sand mining through the application of Integrated Farming System (IFS),"Handono, Setiyo; Hidayat, Kliwon; Purnomo, Mangku; Toiba, Hery ",,01-07-2023,"Los cambios en los recursos naturales han presentado grandes problemas para las comunidades agrícolas en las zonas rurales. En general, los agricultores diversifican sus medios de vida en el sector no agrícola sin prestar atención al impacto en la disponibilidad de los recursos naturales en el futuro. La actividad de extracción de arena se ha convertido en una de las soluciones a corto plazo para las comunidades agrícolas de las zonas rurales. Como resultado, en la aldea se producen problemas como la degradación del suelo, generando así impactos negativos en la disponibilidad de la naturaleza para las futuras generaciones. Este estudio tuvo como objetivo analizar las causas de la degradación del suelo y describir el Sistema de Agricultura Integrada (IFS, por sus siglas en inglés) como una solución para abordar el problema de la degradación del suelo en la aldea de Bambang, distrito de Wajak, regencia de Malang. 

Este estudio aplicó un diseño de investigación de estudio de caso cualitativo, y los métodos de investigación incluyeron entrevistas a profundidad con 40 informantes, observación y Discusión de Grupo Focal (FGD). La ubicación de este estudio se determinó mediante un muestreo intencional, considerando que la aldea de Bambang es una de las aldeas afectadas por la degradación del suelo debido a la extracción de arena. Los resultados del estudio revelaron que la degradación del suelo se debió a la vulnerabilidad de la comunidad agrícola; por lo tanto, se propuso otra alternativa para utilizar una parte del terreno (20%) como área de extracción de arena sin descuidar la preservación ambiental como recompensa por los servicios ambientales. Además, el IFS y los actores como ecoemprendedores fueron considerados como soluciones alternativas para satisfacer las necesidades y preparar la resiliencia de la comunidad agrícola a través de la preservación ecológica, manteniendo el equilibrio del ecosistema. En la práctica, el IFS requiere la integración entre las partes interesadas, los agricultores y las instituciones pertinentes.",minería de arena; impactos sociales; impactos ambientales; sistema agrícola integrado; recuperación de ecosistemas; resiliencia comunitaria; rehabilitación ecológica,Indonesia,,,,Journal of Degraded and Mining Lands Management,10,4,4697–4708,https://doi.org/10.15243/jdmlm.2023.104.4697,2502-2458,,,,application/pdf,Inglés,Creative Commons. CC BY 4.0,
paper015,paper015.pdf,,,"“Local people want to keep their sand”: Variations in community perceptions and everyday resistance to sand mining across the Red River, Vietnam","Runeckles, Hannah; Hackney, Christopher R.; Le, Hue; Ha, Hue Thi Thu; Bui, Ly; Nga, Do Thu; Large, Andy",,09-01-2023,"El delta del río Rojo es la cuenca más densamente poblada de Vietnam, con sus comunidades entrelazadas con el delta y sus recursos, y dependientes de ellos. La extracción intensiva y generalizada de arena fluvial está vinculada a una degradación sustancial del delta, lo que amenaza directamente estos medios de vida. La respuesta de las comunidades rurales es resistir de diversas maneras, dependiendo de una compleja matriz de factores geoespaciales. Utilizando un enfoque etnográfico, exploramos los factores que contribuyen a la escala y los patrones de resistencia a la extracción de arena de una comunidad fluvial río arriba y una comunidad costera río abajo en el delta del río Rojo.

La comunidad fluvial protesta abiertamente contra la minería ilegal que amenaza directamente sus medios de vida vinculados al río, lo que se manifiesta a través de denuncias ante las autoridades, protestas en las riberas y la participación de los medios de comunicación masivos. En contraste, la comunidad costera ha pasado de la protesta abierta, a través de denuncias abiertas a las autoridades, a formas cerradas de murmullos dentro de la aldea. Aquí, los patrones de resistencia están impulsados por la proximidad a los sitios de extracción, el impacto percibido de la minería y los mecanismos legislativos estructurales preexistentes. Bajo escenarios de tasas de extracción de arena en rápido aumento para satisfacer necesidades globales más amplias, existe una necesidad urgente de estudios sobre los impactos y la resistencia a escala local, que capturen las características socioeconómicas de las comunidades, para planificar mejor los escenarios futuros de extracción y explotación de recursos.",minería de arena; industrias extractivas; impactos sociales; sentido de pertenencia; formas de vida; protestas; resistencia extractivista,Vietnam ,,,,The Extractive Industries and Society,15,,,https://doi.org/10.1016/j.exis.2023.101336,2214-790X,,,,application/pdf,Inglés,Creative Commons. CC BY 4.0,
paper016,paper016.pdf,,,Sand mining in the Mekong Delta: Extent and compounded impacts,"Park, Edward",,10-05-2024,"La extracción de arena se ha acelerado en los últimos años debido principalmente al aumento de la población y a la rápida urbanización. Para satisfacer la demanda, la tasa de extracción de arena a menudo supera la tasa de reabastecimiento natural, con graves consecuencias ambientales. En este artículo de revisión, el delta del Mekong en Vietnam (VMD), un punto crítico mundial de extracción de arena con un prolongado historial de extracción intensiva en lechos de ríos, se utiliza como un estudio de caso representativo para destacar la extensión y los impactos compuestos de esta actividad. El presupuesto de extracción de arena del VMD osciló entre 8.5 y 45.7 Mm³/año. La gran diferencia se debe al uso de diferentes métodos para determinar el presupuesto de extracción de arena, así como a las dificultades asociadas con la medición del volumen de arena extraído del lecho del río. La minería ilegal generalizada en la región exacerba aún más esta discrepancia. Las consecuencias ambientales de la extracción de arena en los lechos de los ríos incluyen lechos fluviales profundamente incisados que dan como resultado la erosión de las riberas y las costas. La remoción masiva de sedimentos también ha provocado la reducción de los niveles de agua de los ríos, la alteración de la conectividad hidrológica y la disminución de la inundación de las llanuras de aluvial. Además, el mayor efecto de remanso que resulta del descenso del lecho del río amplifica la extensión de la intrusión salina en la estación seca. 

Si bien los impactos físicos e hidrológicos de la extracción de arena están bien estudiados, los estudios sobre las ramificaciones ecológicas y socioeconómicas siguen siendo escasos. Asimismo, en esta revisión también se consideró la forma en que las presas aguas arriba, la infraestructura de riego, la extracción excesiva de agua subterránea y el aumento del nivel del mar (SLR) han amplificado los efectos de la extracción de arena. Este artículo concluye abogando por la adopción de enfoques basados en teledetección para un mapeo efectivo de las actividades de extracción de arena y la necesidad de extraer de manera sostenible para equilibrar las necesidades de desarrollo con la conservación ambiental.",minería de arena; impactos ambientales; impactos sociales; Mekong delta; erosión fluvial; erosión costera,Vietnam ,,,,Science of The Total Environment,924,,,https://doi.org/10.1016/j.scitotenv.2024.171620,0048-9697,,,,application/pdf,Inglés,Creative Commons. CC BY 4.0,
paper017,paper017.pdf,,,Land Use and River Degradation Impact of Sand and Gravel Mining,"Ichsan, Putra; Hartuti, Purnaweni",,21-02-2018,"La extracción de arena y grava tiene como objetivo proporcionar materiales para el desarrollo de infraestructuras, así como brindar una fuente económica para los mineros. Sin embargo, los impactos de la extracción de arena y grava también podrían causar perturbaciones en el equilibrio ecológico, ya que está estrechamente relacionada con el cambio en el uso del suelo y la degradación de los ríos, además de causar conflictos en la relación entre los mineros, el gobierno y el sector privado. Por lo tanto, se necesitan la regulación gubernamental y una supervisión adecuada para preservar el equilibrio ecológico y disminuir los impactos negativos de esta minería, garantizando así el desarrollo sostenible.",minería de arena; minería de grava; erosión fluvial; desarrollo sostenible; sedimentación; cambio de uso de suelo; impactos ambientales; salud humana; minería ilgal,Indonesia,,,,"International Conference on Energy, Environmental and Information System 2017",31,,,https://doi.org/10.1051/e3sconf/20183109034,,,,,application/pdf,Inglés,Creative Commons. CC BY 4.0,
paper018,paper018.pdf,,,The impact of river sand mining and waste management on the Volta Lake: A case study of Asutsuare,"Amoah, Daniel Kwaku; Awuah, Esi; Hodgson, Isaac O.A.; Appiah-Brempong, Miriam; Von-Kiti, Elizabeth; Nyarko, Isaac Nii Yartey",,12-01-2024,"La seguridad del agua potable se está volviendo cada vez más crucial a medida que la población mundial aumenta y se intensifican las actividades antropogénicas que contaminan los recursos hídricos. Este estudio se llevó a cabo entre junio y agosto de 2022 para determinar los parámetros fisicoquímicos y microbianos del lago Volta en Asutsuare debido a las actividades de extracción de arena y evaluar qué tan bien el biochar de cáscara de coco podría eliminar estos contaminantes. Se tomaron muestras de agua a un metro por debajo de la superficie en aguas arriba, aguas medias (sitio de extracción de arena) y aguas abajo una vez a la semana durante tres meses. Las muestras de agua de aguas medias se pasaron a través de una columna de biochar de cáscara de coco para determinar su capacidad para eliminar contaminantes en las muestras de agua. 

En comparación con aguas arriba, hubo una diferencia significativa (p < 0.05) en color, turbidez, hierro, manganeso, demanda bioquímica de oxígeno, demanda química de oxígeno, coliformes totales y sólidos suspendidos totales en el agua muestreada de los sitios de aguas medias y aguas abajo. Además, estos valores también superaron las directrices de la OMS. No hubo diferencias significativas (p > 0.05) entre los sitios de muestreo de aguas medias, aguas arriba y aguas abajo para los siguientes parámetros: zinc, plomo, cobre, conductividad, TDS, temperatura, coliformes fecales, Escherichia coli y pH. El biochar de cáscara de coco se utilizó una sola vez y parece ser un sorbente altamente efectivo para eliminar contaminantes de las muestras de agua (eficiencia de eliminación >70%).",minería de arena; calidad de agua; río Volta; biochar; restauración ecológica; impactos ambientales; salud humana,Ghana,,,,Scientific African,26,,,https://doi.org/10.1016/j.sciaf.2024.e02359,2468-2276,,,,application/pdf,Inglés,Creative Commons. CC BY 4.0,
paper019,https://revues.imist.ma/index.php/EGSM/article/view/31132,portadap019.png,portadap019.png,Exploitation minière et dégradation de l’environnement : Cas des carrières de la Région de l’Ouest -CAMEROUN,"Doumtsop, Marcel",,03-03-2022,"En la Región del Oeste de Camerún, la extracción de recursos minerales como arena, basalto y laterita se lleva a cabo mediante modalidades industriales y de tipo artesanal. Esta última destaca por el uso de métodos manuales y poco mecanizados en los que la falta de regulación desencadena graves perjuicios ambientales, como la erosión severa del suelo, la alteración de napas freáticas y deslizamientos de tierra que ponen en riesgo vidas humanas.  

Asimismo, esta actividad minera enfrenta complejas deficiencias de gobernanza y control por parte del Estado, lo que favorece el surgimiento de carteras clandestinas y pérdidas de recaudación fiscal. A pesar de los problemas socioambientales y el abandono irresponsable de algunos predios, en ciertos casos los sitios explotados son reincorporados localmente para la agricultura, el comercio o la piscicultura.",minería artesanal; minería informal; gobernanza ambiental; degradación de ecosistemas; impactos ambientales; erosión del suelo; impactos sociales; rehabilitación ecológica; ,Camerún,,,,Espace Géographique & Société Marocaine,1,58,95-118,https://doi.org/10.34874/IMIST.PRSM/EGSM/31132,1113-8270,,,,record,Francés,Acceso Abierto,
paper020,paper020.pdf,,,"Influence De L’exploitation Artisanale Du Sable Sur La Santé Et La Sécurité Des Artisans Et L’environnement: Cas De La Carrière De Nkol’Ossananga, Région Du Centre Cameroun","Mwebi, Clautaire; Fotie, Rodrigue; Kagou Armand",,31-05-2018,"Este estudio analiza las consecuencias ambientales y de salud derivadas de la extracción rudimentaria de arena en la cantera de Nkol'Ossananga, ubicada en la región central de Camerún. La falta de equipos de protección individual expone constantemente a los trabajadores a accidentes como ahogamientos, además de propiciar el desarrollo de enfermedades recurrentes entre la población local, tales como la fiebre tifoidea, el paludismo y la fibromialgia. Asimismo, las extremas variaciones de presión que sufren los buceadores y la ingesta involuntaria del agua contaminada del río Sanaga menoscaban gravemente su bienestar físico.  

Por otro lado, la intensa actividad extractiva genera un severo deterioro ecológico en los ecosistemas circundantes. La alta demanda del material impulsa la deforestación y la pérdida de biodiversidad local, debido a la tala indiscriminada de árboles para la construcción de piraguas. A esto se suma la contaminación del aire, suelo y fuentes hídricas causada por el vertido incontrolado de aceites usados de motores, la cocción de alquitrán, la acumulación de desechos plásticos y la falta de infraestructuras sanitarias básicas en la zona.",minería de arena; minería artesanal; impactos a la salud humana; impactos ambientales; impactos sociales; seguridad humana,Camerún,,,,European Scientific Journal,14,15,246-268,https://doi.org/10.19044/esj.2018.v14n15p246,1857-7431,,,,application/pdf,Francés,Creative Commons. CC BY 4.0,
paper021,https://www.witpress.com/elibrary/wit-transactions-on-ecology-and-the-environment/210/35959,portadap021.png,portadap021.png,The Effects Of Sand Mining On Rural Communities,"Mngeni, A; Musampa, C; Nakin, M",,2016,"Este estudio analiza las implicaciones socioeconómicas y ambientales de la extracción de arena en las comunidades rurales de la Costa Salvaje de Sudáfrica. Aunque esta actividad opera mayoritariamente al margen de la ley y de las normas tributarias, representa la principal fuente de ingresos y empleo informal para jóvenes y adultos en zonas marcadas por el desempleo y la pobreza.  

Sin embargo, la extracción desmedida genera serios conflictos sociales entre la población local, los mineros informales y las autoridades gubernamentales. Además de provocar el deterioro de las carreteras y amenazar la estabilidad de los ecosistemas costeros, la falta de una gestión formal dificulta la protección del entorno y la mitigación de los impactos socioambientales.  ",minería de arena; minería informal; Sudáfrica; dunas; erosión del suelo; impactos sociales; impactos ambientales; gestión integrada de recusos,Sudáfrica,,,,Transactions on Ecology and The Environment,210,,443 - 453,https://doi.org/10.2495/SDP160371,1743-3541,,,,record,Inglés,Copyright (C) 2016 WIT Press All Rights Reserved ,
paper022,https://www.researchgate.net/publication/306050335_The_physical_and_environmental_impacts_of_sand_mining,portadap022.png,portadap022.png,The physical and environmental impacts of sand mining,"Mngeni, Asabonga; Betek, Cecilia; Christopher, Musampa; Nakin; Motebang",,10-08-2016,"Este estudio examina los severos impactos ambientales y físicos generados por la extracción de arena en los sitios costeros de Mngazi, Chwebeni y Coffee Bay, pertenecientes al distrito de O.R. Tambo en Sudáfrica. La remoción de vegetación para abrir caminos y pozos altera la estabilidad del terreno, lo que intensifica la erosión del suelo y provoca la formación de profundas cárcavas o zanjas (dongas). Asimismo, las excavaciones constantes favorecen el desencadenamiento de deslizamientos de tierra y la destrucción de hábitats naturales sensibles.  

Por otra parte, la perturbación ecológica originada por las actividades mineras facilita la propagación de especies vegetales invasoras como la Lantana camara, las cuales compiten con la flora autóctona y aceleran la degradación del ecosistema. Ante estos riesgos, la investigación enfatiza la necesidad de reubicar las operaciones fuera de zonas ecológicamente frágiles, implementar campañas de concienciación ambiental y exigir la rehabilitación del terreno mediante la reforestación antes de otorgar licencias de extracción.",minería de arena; impactos ambientales; erosión del suelo; degradación de ecosistemas; perturbación ecológica,Sudáfrica,,,,Transactions of the Royal Society of South Africa,72,1,,https://doi.org/10.1080/0035919X.2016.1209701,2154-0098,,,,record,Inglés,,https://www.researchgate.net/publication/306050335_The_physical_and_environmental_impacts_of_sand_mining
paper023,paper023.pdf,,,Mining for sand extraction - Rio Grande: Brazilian environmental legislation applied,"Silva, Guilherme; Soares, Pedro; Moras, Luiz; Soarez, Gustavo; Mollica, Luiza; Fernandes, Guilherme; Reis, Clayton; Martins Fabiano",,12-05-2023,"El arena es un recurso natural fundamental, y su disponibilidad es crucial para el crecimiento económico y el desarrollo de infraestructuras. El presente trabajo tuvo como objetivo analizar los procesos de extracción de arena en una empresa a orillas del Río Grande, en el suroeste de Minas Gerais, principalmente los aspectos ambientales y el enfoque en el cumplimiento de las condiciones y requisitos legales que abarcan el proceso de extracción de arena.

La extracción de arena es una actividad extendida globalmente, esencial en la industria de la construcción y en diversas aplicaciones industriales. Los ríos proporcionan una fuente natural de arena, un componente vital en la fabricación de hormigón, asfalto, vidrio y productos cerámicos y de fundición. Sin embargo, esta actividad no está exenta de controversia, debido a los significativos impactos ambientales que conlleva. En la extracción de arena del lecho de ríos o lagos, se utiliza una draga para retirar la arena y otros materiales que se encuentran en el fondo del cuerpo de agua, utilizando el agua como medio de transporte. 

La operación principal de este proyecto consiste en la extracción de arena y grava destinadas a su uso directo en la construcción civil, según lo establecido por el código A-03-01-8 en la Deliberación Normativa COPAM n.º 217/2017 (Legislación Estatal Brasileña), siendo una actividad potencialmente contaminante. Además, dicho emprendimiento se encuentra ubicado dentro de la zona de amortiguamiento del Parque Nacional Serra da Canastra, con un peso de 1 para los criterios de encuadre locacional.",minería de arena; impactos ambientales; erosión fluvial; normativa legal; legislación ambiental,Brasil,,,,Revista de Gestão e Secretariado - GESEC,14,12,21018-21031,https://doi.org/10.7769/gesec.v14i12.3146,2178-9010,,,,application/pdf,Inglés,Creative Commons. CC BY 4.0,
paper024,https://digitalcommons.law.lsu.edu/jelr/vol7/iss2/11/,portadap024.png,portadap024.png,Stealing Beaches: A Law and Economics Policy Analysis of Sand Mining,"Tastet, Emily",,08-05-2019,"La extracción desmedida de arena para la construcción y la expansión de infraestructura está provocando una severa escasez global de este recurso no renovable, generando graves consecuencias ambientales como la erosión costera y el deterioro de ecosistemas acuáticos. Ante el surgimiento del mercado negro y la ""mafia de la arena"" que opera mediante la corrupción y la violencia, las prohibiciones drásticas e intervenciones estatales han resultado ineficientes o contraproducentes al avivar la minería ilegal.  

Como alternativa para equilibrar el desarrollo económico y la protección ambiental, se plantea implementar esquemas regulatorios flexibles como permisos comerciables y impuestos correctivos que financien la conservación. Asimismo, se propone fortalecer modelos de gobernanza comunitaria que empoderen a las poblaciones locales y promover el uso de materiales sustitutos en la construcción, tales como arena manufacturada, cenizas volantes y residuos plásticos o de demolición reciclados.",minería de arena; minería informal; minería ilegal; violencia social; regulación legal; impactos ambientales; impactos sociales,Global,,,,LSU Journal of Energy Law and Resources,7,2,524-551,,,,,,record,Inglés,,https://digitalcommons.law.lsu.edu/jelr/vol7/iss2/11
legal001,legal001.pdf,,,Resolución Directoral N°284-2019-ANA-AAA-Ucayali,,Autoridad Nacional del Agua - Autoridad Administrativa del Agua Ucayali,28-06-2019,"Mediante la Resolución Directoral N° 184-2019-ANA-AAA.UCAYALI, la Autoridad Administrativa del Agua Ucayali declaró improcedente el recurso administrativo de apelación interpuesto por la Municipalidad Distrital de Chontabamba contra la opinión técnica vinculante desfavorable emitida por la Administración Local de Agua Perené (Informe Técnico N° 014-2019-ANA-AAA.U/ALA.PE/CECG), la cual denegaba la autorización para la extracción de material de acarreo en la zona Achira del río Chontabamba debido al riesgo de socavación de defensas ribereñas. La resolución se fundamentó en que dicha opinión técnica es un acto de trámite no definitivo que no pone fin a la instancia, no impide la continuación del procedimiento ni genera indefensión, resultando inimpugnable según el TUO de la Ley del Procedimiento Administrativo General (Ley N° 27444).",minería de arena; regulación legal; gestión de recursos hídricos,Perú,,,,,,,,,,,,,application/pdf,Español,,https://www.ana.gob.pe/normatividad/resoluciones-ana/autoridades-del-agua?title=284-2019-ANA-AAA&tid=12&year=2019
